                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.115,                 1.0085,                 1.3143,                0.85979,                0.74918,                0.84605,                0.54527,                 1.2815,                0.99312,                 1.4684,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0857,                0.97649,                 1.2821,                0.81192,                0.68107,                0.80248,                0.51831,                 1.2753,                  1.016,                 1.4578,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0857,                 1.0188,                 1.2883,                 0.8046,                 0.7657,                0.84002,                0.53071,                 1.2825,                 1.0015,                 1.4664,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.074,                0.98832,                 1.2834,                0.79395,                0.77663,                0.85062,                 0.5529,                 1.2472,                0.94755,                 1.4372,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0687,                0.97571,                 1.2655,                0.85485,                0.74443,                0.85265,                0.54589,                 1.2213,                0.94803,                 1.4252,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0539,                0.98592,                 1.2894,                0.83295,                0.74875,                0.85151,                0.55488,                 1.2358,                0.91756,                  1.454,              0.0010234,              0.0010234,              0.0010234
                     41,                   1.09,                 0.9879,                 1.3021,                0.85296,                0.78231,                 0.8702,                0.56924,                 1.1891,                0.84769,                 1.3976,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0732,                0.95895,                 1.2942,                0.85668,                 0.7875,                0.87237,                0.56028,                 1.2174,                0.85459,                 1.3886,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0388,                0.94898,                 1.2682,                0.83122,                0.80494,                0.87384,                0.58489,                 1.1397,                0.84153,                 1.3642,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0379,                0.95343,                 1.2468,                0.79265,                0.75639,                0.84081,                0.54632,                 1.1958,                0.95364,                 1.3861,             0.00095736,             0.00095736,             0.00095736
                     45,                0.99956,                0.90206,                  1.235,                0.84944,                0.79327,                0.87619,                0.59627,                 1.1592,                0.84478,                 1.3598,             0.00094085,             0.00094085,             0.00094085
                     46,                0.99692,                0.89312,                 1.2395,                0.84233,                0.78449,                 0.8638,                0.57888,                 1.1662,                0.90771,                 1.3693,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0003,                0.87923,                 1.2411,                  0.886,                 0.7912,                0.88703,                0.60113,                   1.16,                 0.8355,                 1.3694,             0.00090785,             0.00090785,             0.00090785
                     48,                0.97303,                0.87997,                 1.2284,                0.85729,                 0.8158,                0.88978,                0.60576,                 1.1437,                0.80424,                 1.3586,             0.00089134,             0.00089134,             0.00089134
                     49,                0.97859,                0.89213,                 1.2301,                0.86507,                0.78908,                0.86748,                0.59928,                 1.0829,                0.79821,                 1.3126,             0.00087484,             0.00087484,             0.00087484
                     50,                0.95952,                0.84878,                 1.2182,                0.82212,                0.78754,                0.86183,                 0.5989,                 1.1109,                0.87004,                 1.3209,             0.00085834,             0.00085834,             0.00085834
                     51,                0.98496,                 0.8654,                 1.2241,                 0.8643,                0.76523,                0.87326,                0.58952,                 1.1159,                0.83414,                 1.3256,             0.00084184,             0.00084184,             0.00084184
                     52,                0.95618,                0.83893,                 1.2128,                0.84122,                0.79479,                 0.8819,                0.60043,                 1.1394,                0.79689,                 1.3358,             0.00082533,             0.00082533,             0.00082533
                     53,                0.94534,                0.79939,                    1.2,                0.85505,                 0.8187,                0.89239,                0.60695,                 1.1363,                0.78503,                 1.3357,             0.00080883,             0.00080883,             0.00080883
                     54,                0.95725,                0.79702,                 1.2059,                0.84832,                 0.7908,                0.86914,                0.57646,                 1.1355,                0.79374,                 1.3253,             0.00079233,             0.00079233,             0.00079233
                     55,                0.92884,                0.80697,                 1.2003,                0.82074,                 0.8243,                0.88576,                0.61035,                 1.1299,                0.83747,                 1.3686,             0.00077582,             0.00077582,             0.00077582
                     56,                0.93154,                0.79995,                 1.2026,                0.87457,                0.81624,                0.89864,                0.61775,                 1.0886,                  0.755,                 1.2902,             0.00075932,             0.00075932,             0.00075932
                     57,                0.92345,                0.78201,                 1.1975,                0.88993,                0.80639,                0.89748,                0.62937,                 1.0525,                0.75447,                 1.2744,             0.00074282,             0.00074282,             0.00074282
                     58,                0.90424,                0.77381,                 1.1832,                0.86113,                0.83338,                0.89062,                0.62545,                 1.0397,                0.73062,                 1.2596,             0.00072631,             0.00072631,             0.00072631
                     59,                0.89718,                 0.7468,                 1.1788,                0.86876,                0.83979,                0.90655,                0.63702,                  1.048,                  0.704,                 1.2827,             0.00070981,             0.00070981,             0.00070981
                     60,                0.88314,                0.73924,                 1.1718,                0.88759,                0.80287,                0.88576,                0.62837,                 1.0372,                0.70379,                  1.278,             0.00069331,             0.00069331,             0.00069331
                     61,                  0.894,                0.75485,                 1.1749,                0.86446,                0.84248,                0.90587,                0.64612,                 1.0179,                0.68801,                 1.2593,              0.0006768,              0.0006768,              0.0006768
                     62,                0.89569,                0.75813,                 1.1762,                0.90583,                0.79763,                0.89517,                 0.6384,                 1.0202,                0.71172,                 1.2721,              0.0006603,              0.0006603,              0.0006603
                     63,                0.87684,                0.73405,                 1.1672,                0.90249,                0.83915,                0.90633,                0.65005,                 1.0062,                0.68966,                 1.2461,              0.0006438,              0.0006438,              0.0006438
                     64,                0.86319,                0.71856,                 1.1569,                0.88973,                0.86539,                 0.9178,                0.66607,                 1.0272,                0.66672,                 1.2815,             0.00062729,             0.00062729,             0.00062729
