                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3634,                 2.0413,                 1.4722,                0.26097,                0.45698,                 0.2784,                0.13349,                   1.63,                 2.3461,                 1.9655,             0.00054949,             0.00054949,             0.00054949
                      2,                 1.4511,                 1.8042,                 1.5244,                0.27944,                0.45906,                0.27568,                0.13298,                 1.7771,                 3.1501,                  1.977,              0.0010833,              0.0010833,              0.0010833
                      3,                 1.5348,                 1.8699,                 1.6007,                0.38312,                0.43822,                0.36862,                0.17651,                 1.7332,                 2.1026,                 1.9787,              0.0015951,              0.0015951,              0.0015951
                      4,                 1.5442,                 1.8452,                 1.6038,                0.40519,                0.39387,                 0.3165,                  0.151,                 1.8623,                 2.4195,                 2.0675,               0.001568,               0.001568,               0.001568
                      5,                 1.5553,                 1.8295,                 1.6237,                0.43537,                0.43729,                0.40566,                0.15882,                 1.7532,                 2.1835,                 1.9405,               0.001535,               0.001535,               0.001535
                      6,                 1.4972,                 1.8185,                 1.5707,                0.43046,                0.49223,                0.44987,                0.22261,                 1.6303,                 1.9027,                 1.7909,               0.001502,               0.001502,               0.001502
                      7,                 1.4411,                 1.6877,                 1.5437,                 0.4395,                0.49541,                0.44978,                0.23949,                  1.571,                 1.7929,                 1.7449,               0.001469,               0.001469,               0.001469
                      8,                 1.4326,                 1.6729,                 1.5303,                0.54206,                0.53006,                0.52721,                0.29169,                 1.4445,                 1.6219,                 1.6307,               0.001436,               0.001436,               0.001436
                      9,                 1.4277,                 1.6294,                 1.5352,                0.60807,                0.63394,                 0.6365,                0.36694,                  1.425,                 1.4275,                 1.6279,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3828,                 1.6131,                 1.5067,                0.67442,                0.58023,                0.66136,                0.37982,                 1.4697,                 1.3458,                 1.6623,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3944,                 1.5507,                 1.4966,                0.59723,                 0.5734,                0.59682,                0.32562,                 1.5683,                 1.4547,                 1.7195,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.323,                 1.4413,                 1.4594,                0.73592,                0.61056,                0.68111,                0.39632,                 1.3935,                 1.2347,                 1.5842,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3479,                 1.4706,                 1.4862,                0.74062,                0.55439,                0.67731,                0.40376,                 1.5013,                 1.4545,                 1.7127,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3114,                 1.4089,                 1.4529,                0.72192,                0.62283,                0.72588,                0.41707,                 1.3483,                 1.1954,                 1.5113,              0.0012379,              0.0012379,              0.0012379
