                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.2567,                 1.3655,                   1.42,                0.78975,                0.67367,                0.76544,                0.46232,                 1.3061,                 1.0974,                 1.4933,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2394,                 1.3606,                 1.4093,                0.69704,                0.68516,                0.73806,                0.45444,                 1.3252,                 1.1879,                 1.4947,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2384,                 1.3139,                 1.4148,                0.75157,                0.71085,                0.76803,                 0.4676,                 1.3164,                 1.0463,                 1.5006,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2522,                 1.3087,                 1.3992,                0.77545,                0.68024,                0.77255,                0.47263,                  1.278,                 1.0485,                 1.4467,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2214,                 1.2417,                 1.3743,                0.80312,                0.71234,                0.78112,                0.49646,                 1.2467,                 1.0229,                 1.4551,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2156,                 1.2465,                 1.3833,                0.80657,                0.71503,                  0.806,                 0.5159,                 1.2505,                0.97212,                 1.4543,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1986,                  1.201,                 1.3578,                0.79627,                0.70185,                0.79913,                0.51168,                 1.1805,                0.97382,                 1.4073,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1853,                 1.2062,                  1.362,                0.77525,                0.72167,                0.80186,                0.50596,                 1.2656,                 1.0294,                 1.4587,             0.00097386,             0.00097386,             0.00097386
                     23,                  1.171,                 1.1421,                  1.353,                0.78989,                0.73587,                0.81641,                0.53376,                 1.1798,                0.89999,                  1.423,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1314,                 1.1182,                 1.3263,                0.81627,                0.74045,                0.82342,                0.52864,                 1.2144,                0.94742,                 1.4286,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1482,                 1.0944,                 1.3421,                0.83331,                  0.746,                0.84332,                0.56019,                 1.1522,                0.86796,                 1.3819,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1194,                 1.1031,                 1.3204,                0.83895,                0.74156,                0.82847,                0.53224,                 1.1389,                0.88619,                 1.3548,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0985,                 1.0519,                  1.309,                0.83813,                0.77937,                0.85535,                0.57053,                 1.1282,                0.83593,                 1.3459,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.0794,                 1.0327,                 1.2812,                0.87239,                0.76267,                0.86059,                0.57282,                 1.1143,                0.81217,                 1.3221,             0.00077582,             0.00077582,             0.00077582
                     29,                  1.078,                 1.0076,                 1.3015,                0.83505,                0.77539,                0.83428,                0.54531,                 1.1179,                0.84946,                 1.3632,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.0828,                 1.0364,                 1.2891,                 0.8497,                 0.7712,                0.85908,                0.56885,                 1.1492,                0.78695,                 1.3739,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.0778,                0.99742,                 1.3003,                0.87055,                0.77353,                0.85927,                0.57158,                 1.0943,                 0.7833,                 1.3201,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0394,                0.96244,                 1.2687,                0.86277,                0.78781,                0.86925,                0.57554,                  1.084,                0.74608,                 1.3061,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.0348,                0.96728,                  1.279,                0.83315,                0.83282,                0.88104,                0.58917,                 1.0809,                0.76849,                 1.3007,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.0306,                0.92514,                 1.2558,                0.90083,                0.78356,                0.88063,                0.60716,                 1.0549,                0.71897,                 1.2757,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0395,                0.90781,                  1.249,                0.85548,                0.83652,                 0.8866,                 0.6096,                 1.0376,                 0.7113,                 1.2883,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.9838,                0.90931,                 1.2486,                0.90987,                0.78936,                0.88593,                0.61237,                 1.0511,                0.71178,                 1.2837,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.9821,                0.86244,                 1.2235,                0.89175,                0.83551,                0.89804,                0.60862,                 1.0382,                0.71003,                 1.2769,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0072,                0.87704,                 1.2444,                 0.8898,                0.80608,                0.89019,                0.62162,                 1.0482,                0.68265,                 1.2853,             0.00044576,             0.00044576,             0.00044576
                     39,                0.95241,                0.84687,                 1.2259,                0.88898,                 0.8387,                0.90877,                  0.636,                0.99612,                0.66601,                  1.254,             0.00041275,             0.00041275,             0.00041275
                     40,                0.95334,                0.82846,                 1.2066,                0.91988,                0.82968,                 0.9126,                 0.6399,                 1.0034,                0.67192,                 1.2498,             0.00037974,             0.00037974,             0.00037974
                     41,                0.83999,                0.66592,                 1.1643,                0.88041,                0.84095,                0.91174,                0.64636,                0.98531,                0.64818,                 1.2405,             0.00034674,             0.00034674,             0.00034674
                     42,                0.83853,                0.64474,                 1.1797,                0.93171,                0.83137,                0.91753,                0.65256,                0.98303,                0.62065,                 1.2414,             0.00031373,             0.00031373,             0.00031373
                     43,                0.80958,                0.61159,                 1.1444,                 0.9197,                0.84592,                0.91891,                0.65905,                0.96588,                0.61996,                 1.2241,             0.00028072,             0.00028072,             0.00028072
                     44,                0.80639,                0.57059,                 1.1504,                0.91456,                0.85192,                0.92142,                 0.6579,                0.97553,                0.60039,                 1.2293,             0.00024772,             0.00024772,             0.00024772
                     45,                0.77048,                0.55223,                 1.1362,                0.93284,                0.86287,                0.93151,                0.67959,                0.90844,                0.56006,                 1.1797,             0.00021471,             0.00021471,             0.00021471
                     46,                0.77513,                0.54085,                 1.1243,                 0.9256,                0.85892,                0.91026,                0.67066,                0.93156,                 0.5648,                 1.1997,              0.0001817,              0.0001817,              0.0001817
                     47,                0.74459,                0.52374,                 1.1078,                0.92731,                0.87097,                0.92809,                0.68248,                 0.9123,                0.54802,                 1.1791,              0.0001487,              0.0001487,              0.0001487
                     48,                0.72824,                0.50654,                 1.1147,                0.92866,                0.88422,                0.93609,                0.68616,                0.88804,                0.54087,                 1.1676,             0.00011569,             0.00011569,             0.00011569
                     49,                0.71994,                0.51354,                 1.0969,                0.91616,                0.88966,                0.93576,                 0.6946,                0.89058,                0.53392,                 1.1707,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.69413,                0.48128,                 1.0804,                0.92074,                0.88763,                0.93723,                0.69632,                0.88285,                0.52418,                 1.1659,             4.9677e-05,             4.9677e-05,             4.9677e-05
