                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3965,                   2.09,                 1.5101,                0.37264,                0.43316,                0.34775,                0.18085,                 1.6002,                 2.7793,                 1.7906,             0.00055096,             0.00055096,             0.00055096
                      2,                 1.5079,                 1.9123,                  1.585,                0.31419,                 0.5278,                0.32074,                0.14595,                 1.8578,                 2.7006,                 2.0703,              0.0011011,              0.0011011,              0.0011011
                      3,                 1.6133,                 2.0444,                 1.6625,                0.22966,                0.49357,                0.24275,                0.10033,                 1.8621,                 3.1512,                  2.049,              0.0016458,              0.0016458,              0.0016458
                      4,                  1.597,                  2.016,                 1.6481,                0.27469,                0.37272,                0.24919,                0.10655,                  2.033,                 2.2971,                  2.109,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.5293,                 1.9106,                 1.5922,                0.54864,                0.44916,                 0.4734,                0.22923,                 1.7472,                 1.8411,                 1.8541,               0.001634,               0.001634,               0.001634
                      6,                 1.5288,                 1.8639,                 1.6058,                0.58114,                0.52526,                0.55156,                0.29236,                 1.5816,                    1.7,                 1.7115,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.4827,                 1.7583,                 1.5514,                0.42538,                0.48649,                0.43519,                0.20045,                 1.7949,                 1.9521,                  1.848,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.4454,                 1.7708,                 1.5407,                0.65303,                0.49878,                0.56819,                0.30815,                 1.5399,                 1.6797,                 1.6696,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.3902,                 1.6339,                 1.4822,                0.59528,                0.61375,                0.62831,                0.34687,                 1.5173,                 1.5063,                 1.6354,               0.001601,               0.001601,               0.001601
                     10,                  1.382,                 1.6377,                 1.5034,                0.60228,                0.52565,                0.55663,                  0.325,                 1.4264,                 1.6648,                 1.5893,              0.0015927,              0.0015927,              0.0015927
                     11,                  1.376,                 1.6508,                 1.5063,                0.70011,                0.66262,                0.71746,                0.41978,                 1.4141,                 1.3089,                 1.5449,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.3475,                 1.5918,                  1.468,                0.72607,                0.60552,                0.69553,                0.40329,                 1.4192,                 1.3606,                 1.5557,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.3328,                 1.5142,                 1.4532,                0.66225,                0.67366,                0.71712,                0.44091,                 1.2935,                 1.2025,                 1.4594,               0.001568,               0.001568,               0.001568
                     14,                 1.3363,                  1.521,                 1.4498,                0.71677,                0.66581,                0.73225,                0.44434,                 1.2916,                 1.2105,                 1.4504,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.3316,                 1.4905,                 1.4704,                0.67826,                0.68259,                0.72321,                 0.4307,                  1.307,                 1.1862,                 1.4569,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2842,                 1.4591,                 1.4258,                0.74965,                0.66575,                0.75144,                0.45825,                 1.2558,                 1.1851,                 1.4157,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.2675,                 1.4622,                 1.4227,                0.72309,                0.68464,                0.75048,                 0.4529,                 1.3124,                 1.1826,                 1.4753,               0.001535,               0.001535,               0.001535
                     18,                 1.2928,                  1.438,                  1.431,                 0.7787,                0.66264,                0.76247,                0.47441,                 1.2469,                 1.1252,                 1.4242,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.2353,                 1.3943,                 1.3952,                 0.7429,                0.67761,                0.77228,                0.48847,                 1.2262,                 1.1162,                 1.4073,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.2491,                 1.3622,                 1.4054,                0.79469,                0.70725,                0.79681,                0.50595,                 1.2118,                 1.0349,                 1.3791,              0.0015102,              0.0015102,              0.0015102
